"","Sample.ID","Culture","Salinity","Temperature","Treatment.ID","Replicate","Day","Date","Week","Continuation","DunaAlive","DunaDead","Fluorescenc","Absorbance"
"1","S1C_24_2M_1","1C","2",24,"S1C_24_2M","1",0,NA,"01",0,54998.0105317768,28.4816211971915,NA,NA
"2","S1C_24_4M_1","1C","4",24,"S1C_24_4M","1",0,NA,"01",0,59498.3087495934,85.4451537811297,NA,NA
"3","S3_24_2M_1","3","2",24,"S3_24_2M","1",0,NA,"01",0,62630.9077562745,28.4815405894836,NA,NA
"4","S3_24_4M_1","3","4",24,"S3_24_4M","1",0,NA,"01",0,55795.1169416004,142.407138697295,NA,NA
"5","S11_24_2M_1","11","2",24,"S11_24_2M","1",0,NA,"01",0,63429.3243733765,85.4458792636415,NA,NA
"6","S11_24_4M_1","11","4",24,"S11_24_4M","1",0,NA,"01",0,54456.7980801505,113.926355816214,NA,NA
"7","S13_24_2M_1","13","2",24,"S13_24_2M","1",0,NA,"01",0,50783.104279612,227.854646234939,NA,NA
"8","S13_24_4M_1","13","4",24,"S13_24_4M","1",0,NA,"01",0,66732.5140108629,199.371574082817,NA,NA
"9","Mix_24_2M_1","mix","2",24,"Mix_24_2M","1",0,NA,"01",0,54343.3638874914,28.481846901201,NA,NA
"10","Mix_24_4M_1","mix","4",24,"Mix_24_4M","1",0,NA,"01",0,60893.9818644717,56.9635003409464,NA,NA
"11","S1C_24_2M_2","1C","2",24,"S1C_24_2M","2",0,NA,"01",0,52520.3770428454,56.963532584431,NA,NA
"12","S1C_24_4M_2","1C","4",24,"S1C_24_4M","2",0,NA,"01",0,57989.105939063,113.927516579692,NA,NA
"13","S3_24_2M_2","3","2",24,"S3_24_2M","2",0,NA,"01",0,65963.5840434175,28.4816856836863,NA,NA
"14","S3_24_4M_2","3","4",24,"S3_24_4M","2",0,NA,"01",0,48333.256455029,227.852711632429,NA,NA
"15","S11_24_2M_2","11","2",24,"S11_24_2M","2",0,NA,"01",0,57704.4177996188,56.9638872651716,NA,NA
"16","S11_24_4M_2","11","4",24,"S11_24_4M","2",0,NA,"01",0,56735.8069124998,28.4818307793674,NA,NA
"17","S13_24_2M_2","13","2",24,"S13_24_2M","2",0,NA,"01",0,47621.594107427,85.4454439726561,NA,NA
"18","S13_24_4M_2","13","4",24,"S13_24_4M","2",0,NA,"01",0,66704.145628143,85.445105416067,NA,NA
"19","Mix_24_2M_2","mix","2",24,"Mix_24_2M","2",0,NA,"01",0,56393.8653375369,56.9635003409464,NA,NA
"20","Mix_24_4M_2","mix","4",24,"Mix_24_4M","2",0,NA,"01",0,57219.4150442726,56.9630811789672,NA,NA
"21","S1C_24_2M_3","1C","2",24,"S1C_24_2M","3",0,NA,"01",0,49785.7047700584,113.926097871987,NA,NA
"22","S1C_24_4M_3","1C","4",24,"S1C_24_4M","3",0,NA,"01",0,59263.9593528692,28.6714849312381,NA,NA
"23","S3_24_2M_3","3","2",24,"S3_24_2M","3",0,NA,"01",0,65649.9138987326,85.4445734039904,NA,NA
"24","S3_24_4M_3","3","4",24,"S3_24_4M","3",0,NA,"01",0,48333.0102318394,199.370107025855,NA,NA
"25","S11_24_2M_3","11","2",24,"S11_24_2M","3",0,NA,"01",0,63656.963856523,0,NA,NA
"26","S11_24_4M_3","11","4",24,"S11_24_4M","3",0,NA,"01",0,59014.0861406969,28.4817018053557,NA,NA
"27","S13_24_2M_3","13","2",24,"S13_24_2M","3",0,NA,"01",0,43805.030943315,113.927258630208,NA,NA
"28","S13_24_4M_3","13","4",24,"S13_24_4M","3",0,NA,"01",0,63627.7976923487,170.889340265932,NA,NA
"29","Mix_24_2M_3","mix","2",24,"Mix_24_2M","3",0,NA,"01",0,56222.8475395968,28.4816856836863,NA,NA
"30","Mix_24_4M_3","mix","4",24,"Mix_24_4M","3",0,NA,"01",0,57687.2577762931,28.6715992923922,NA,NA
"31","Blank_24_2M","blank","2",24,"Blank_24_2M","blank",0,NA,"01",0,0,0,NA,NA
"32","Blank_24_4M","blank","4",24,"Blank_24_4M","blank",0,NA,"01",0,0,28.6712888856679,NA,NA
"33","S1C_36_2M_1","1C","2",36,"S1C_36_2M","1",0,NA,"01",0,59868.6049704706,0,NA,NA
"34","S1C_36_3.5M_1","1C","3,5",36,"S1C_36_3.5M","1",0,NA,"01",0,62303.3497612772,143.357914775143,NA,NA
"35","S1C_36_4M_1","1C","4",36,"S1C_36_4M","1",0,NA,"01",0,58088.3291730979,86.0143077587827,NA,NA
"36","S3_36_2M_1","3","2",36,"S3_36_2M","1",0,NA,"01",0,63997.8405800753,85.444379946696,NA,NA
"37","S3_36_3.5M_1","3","3,5",36,"S3_36_3.5M","1",0,NA,"01",0,56906.3113629381,199.371461231515,NA,NA
"38","S3_36_4M_1","3","4",36,"S3_36_4M","1",0,NA,"01",0,51893.1907144439,85.4443315825092,NA,NA
"39","S11_36_2M_1","11","2",36,"S11_36_2M","1",0,NA,"01",0,52690.9992148043,28.4816211971915,NA,NA
"40","S11_36_3.5M_1","11","3,5",36,"S11_36_3.5M","1",0,NA,"01",0,57286.1165239582,57.3434599839421,NA,NA
"41","S11_36_4M_1","11","4",36,"S11_36_4M","1",0,NA,"01",0,58776.4436351682,57.3428718391885,NA,NA
"42","S13_36_2M_1","13","2",36,"S13_36_2M","1",0,NA,"01",0,41803.3108680955,57.3433619589787,NA,NA
"43","S13_36_3.5M_1","13","3,5",36,"S13_36_3.5M","1",0,NA,"01",0,54533.3197068343,114.686266470735,NA,NA
"44","S13_36_4M_1","13","4",36,"S13_36_4M","1",0,NA,"01",0,61528.9365430719,114.685809027161,NA,NA
"45","Mix_36_2M_1","mix","2",36,"Mix_36_2M","1",0,NA,"01",0,62517.2293016833,0,NA,NA
"46","Mix_36_3.5M_1","mix","3,5",36,"Mix_36_3.5M","1",0,NA,"01",0,59865.8558641502,0,NA,NA
"47","Mix_36_4M_1","mix","4",36,"Mix_36_4M","1",0,NA,"01",0,56568.6463697166,0,NA,NA
"48","S1C_36_2M_2","1C","2",36,"S1C_36_2M","2",0,NA,"01",0,58461.1910864511,143.35750634245,NA,NA
"49","S1C_36_3.5M_2","1C","3,5",36,"S1C_36_3.5M","2",0,NA,"01",0,60124.2409379093,57.3431005607146,NA,NA
"50","S1C_36_4M_2","1C","4",36,"S1C_36_4M","2",0,NA,"01",0,58302.1425989586,56.9635003409464,NA,NA
"51","S3_36_2M_2","3","2",36,"S3_36_2M","2",0,NA,"01",0,68209.1905884004,143.356852854982,NA,NA
"52","S3_36_3.5M_2","3","3,5",36,"S3_36_3.5M","2",0,NA,"01",0,53443.495649161,200.699822716806,NA,NA
"53","S3_36_4M_2","3","4",36,"S3_36_4M","2",0,NA,"01",0,55335.5875493391,172.027733314008,NA,NA
"54","S11_36_2M_2","11","2",36,"S11_36_2M","2",0,NA,"01",0,56483.308084183,0,NA,NA
"55","S11_36_3.5M_2","11","3,5",36,"S11_36_3.5M","2",0,NA,"01",0,61242.4662953723,0,NA,NA
"56","S11_36_4M_2","11","4",36,"S11_36_4M","2",0,NA,"01",0,62131.2140545884,143.357669715248,NA,NA
"57","S13_36_2M_2","13","2",36,"S13_36_2M","2",0,NA,"01",0,47136.162954036,28.6716319671752,NA,NA
"58","S13_36_3.5M_2","13","3,5",36,"S13_36_3.5M","2",0,NA,"01",0,58719.3349741718,172.029301682144,NA,NA
"59","S13_36_4M_2","13","4",36,"S13_36_4M","2",0,NA,"01",0,59178.0460584543,200.700737601347,NA,NA
"60","Mix_36_2M_2","mix","2",36,"Mix_36_2M","2",0,NA,"01",0,56108.6667206477,0,NA,NA
"61","Mix_36_3.5M_2","mix","3,5",36,"Mix_36_3.5M","2",0,NA,"01",0,62290.0107244651,0,NA,NA
"62","Mix_36_4M_2","mix","4",36,"Mix_36_4M","2",0,NA,"01",0,62790.6235566155,0,NA,NA
"63","S1C_36_2M_3","1C","2",36,"S1C_36_2M","3",0,NA,"01",0,61729.7070569557,28.6714849312381,NA,NA
"64","S1C_36_3.5M_3","1C","3,5",36,"S1C_36_3.5M","3",0,NA,"01",0,56906.3113629381,85.4449119563635,NA,NA
"65","S1C_36_4M_3","1C","4",36,"S1C_36_4M","3",0,NA,"01",0,56912.8651590997,86.0144057820146,NA,NA
"66","S3_36_2M_3","3","2",36,"S3_36_2M","3",0,NA,"01",0,66789.0992678076,85.4444766752337,NA,NA
"67","S3_36_3.5M_3","3","3,5",36,"S3_36_3.5M","3",0,NA,"01",0,60898.0257928424,114.685547632472,NA,NA
"68","S3_36_4M_3","3","4",36,"S3_36_4M","3",0,NA,"01",0,57227.957833248,28.6713215597435,NA,NA
"69","S11_36_2M_3","11","2",36,"S11_36_2M","3",0,NA,"01",0,66404.8516306114,31.4565853295175,NA,NA
